#map file, mape a note and a channel to a relay, multiple items can be mapped to the same relay,
#note channel relay
10 0 1
1 0 2
2 0 3
3 0 4
4 0 5
5 0 6
6 0 7
7 0 8
8 0 1
9 0 2
10 0 3
11 0 4
12 0 5
13 0 6
14 0 7
15 0 8
16 0 1
17 0 1
18 0 1
19 0 1
20 0 1
21 0 2
22 0 3
23 0 4
24 0 5
25 0 6
26 0 7
27 0 8
30 0 1
31 0 2
32 0 3
33 0 4
34 0 5
35 0 6
36 0 7
37 0 8
38 0 9
39 0 10
40 0 1
41 0 2
42 0 3
43 0 4
44 0 5
45 0 6
46 0 7
47 0 8
48 0 9
49 0 10
50 0 1
51 0 2
52 0 3
53 0 4
54 0 5
55 0 6
56 0 7
57 0 8
58 0 9
59 0 10
60 0 1
61 0 2
62 0 3
63 0 4
64 0 5
65 0 6
66 0 7
67 0 8
68 0 9
69 0 10
70 0 1
71 0 2
72 0 3
73 0 4
74 0 5
75 0 6
76 0 7
77 0 8
78 0 9
79 0 10
80 0 1
81 0 2
82 0 3
83 0 4
84 0 5
85 0 6
86 0 7
87 0 8
88 0 9
89 0 10
90 0 1
91 0 2
92 0 3
93 0 4
94 0 5
95 0 6
96 0 7
97 0 8
98 0 9
99 0 10
100 0 1
101 0 2
102 0 3
103 0 4
104 0 5
105 0 6
106 0 7
107 0 8
108 0 9
109 0 10
110 0 1
111 0 2
112 0 3
113 0 4
114 0 5
115 0 6
116 0 7
117 0 8
118 0 9
119 0 10
120 0 1
121 0 2
122 0 3
123 0 4
124 0 5
125 0 6
126 0 7
127 0 8
128 0 9
129 0 10


